UPRN,TOID
100060753488,osgb1000013010162
100060753486,osgb1000013010163
100060753484,osgb1000013010165
100060753483,osgb1000013010167
10067624044,osgb1000002050998780
100060753695,osgb1000013010245
100060753694,osgb1000013010241
100060753691,osgb1000013010416
100060753692,osgb1000013010210
100060753593,osgb1000013010216
100060753587,osgb1000013019105
100060753583,osgb1000013019101
100060753629,osgb1000013019039
100060753627,osgb1000013019041
100060753579,osgb1000013019441
100060753626,osgb1000013019044
100060753625,osgb1000013019045
100060753575,osgb1000013019093
10090466245,osgb1000002315478597
100060753621,osgb1000013019048
10090466244,osgb1000002315478599
100060753620,osgb1000013019049
10024248629,osgb1000013019051
100060753619,osgb1000013019052
100060753566,osgb1000013019089
100060753567,osgb1000013019088
100060753616,osgb1000013019057
100062041594,osgb1000013019444
100062041595,osgb1000013019444
100060753614,osgb1000013019061
100060753613,osgb1000013019062
100060753477,osgb1000013019010
100060753475,osgb1000013019009
100060753473,osgb1000013019008
100060753471,osgb1000013019007
100060753469,osgb1000013019006
100060753467,osgb1000013019005
100060753465,osgb1000013019004
100060753463,osgb1000013019003
100060753461,osgb1000013019002
100060753459,osgb1000013019001
100060753453,osgb1000013018998
100060753441,osgb1000013019155
100060753447,osgb1000013019158
100060753445,osgb1000013019157
100060753443,osgb1000013019156
100060753439,osgb1000013019150
100060753431,osgb1000013019147
100060753429,osgb1000013019146
100060753428,osgb1000013019145
100060760005,osgb1000013019352
100060760006,osgb1000013019353
10024247558,osgb1000002315335723
10024247557,osgb1000002315335723
10024247556,osgb1000002315335720
10024247555,osgb1000002315335720
100060760007,osgb1000013019356
100060760023,osgb1000013018943
100060760008,osgb1000013019357
100060760021,osgb1000013018942
100060760009,osgb1000013019360
100060760019,osgb1000013018939
100060760017,osgb1000013018938
100060760010,osgb1000013019361
100060760016,osgb1000013018932
100060760011,osgb1000013019364
100060760012,osgb1000013019365
100060760013,osgb1000013019368
100060753559,osgb1000013019083
100060753557,osgb1000013019082
100060753555,osgb1000013019081
100060753608,osgb1000013018945
100060753549,osgb1000013019078
100060753607,osgb1000013018947
100060753541,osgb1000013017773
100060753604,osgb1000013018951
100060753603,osgb1000013018952
100060753537,osgb1000013017770
100060753598,osgb1000013018958
100060753595,osgb1000013017725
100060753594,osgb1000013017726
100060753590,osgb1000013017728
100060753535,osgb1000013017766
100060753533,osgb1000013017765
100060753531,osgb1000013017764
100060753527,osgb1000013017761
100060753584,osgb1000013017718
100060753525,osgb1000013017760
100060753523,osgb1000013017759
100060753521,osgb1000013017758
100060753578,osgb1000013017715
100060753519,osgb1000013017757
100060753576,osgb1000013017714
100060753570,osgb1000013017712
100060753565,osgb1000013017710
100060753563,osgb1000013017709
100060753558,osgb1000013017707
100060753556,osgb1000013017706
100060753552,osgb1000013017704
100060753550,osgb1000013017703
100060753548,osgb1000013017702
100060753546,osgb1000013017701
100060753540,osgb1000013017698
100060753532,osgb1000013017695
100060753534,osgb1000013017696
